qts,ans
hello,"Hello! How can I assist you?"
hi,"Hello! How can I help you today?"
hey,"Hi! How may I assist you?"
greetings,"Hello! What can I do for you?"

admission,"Admissions open in June. Forms are available online."
admissions,"You can apply through the online admission portal."
apply,"Please visit the admission portal to apply."
application,"Application forms are available on the website."
eligibility,"Eligibility criteria varies by course. Check the prospectus."
cutoff,"Cutoff lists will be announced on the website."
documents,"Required documents include marksheets, ID proof, photos."

fees,"Fee structure varies by department. Check the official website."
fee,"Please visit the fee section on the website."
payment,"Fee payment is available online through the student portal."
refund,"Refund policy is available in the admissions section."
scholarship,"Scholarships available for merit-based and EWS students."
loan,"Education loan assistance is available through partner banks."

courses,"We offer CS, IT, AI-ML, ECE, Mechanical, Civil, EXTC and more."
course,"Please specify the course for details."
branches,"We have multiple engineering branches including CS, IT and Mechanical."
departments,"Departments include Engineering, Science, and Humanities."
syllabus,"You can download the syllabus from the student portal."
duration,"Most UG courses are of 4 years duration."

library,"Library timings are 9 AM to 6 PM (Mon–Sat)."
books,"You can issue books using your student ID."
issue book,"Please visit the library counter to issue books."
return book,"Return books before the due date to avoid fines."
library card,"Library card is included in your student ID."
reading hall,"Reading hall is open till 6 PM."

canteen,"Canteen is located near Block B, open 8 AM to 5 PM."
food,"The canteen serves vegetarian meals, snacks, and beverages."
snacks,"Snacks are available in the canteen throughout the day."
menu,"Canteen menu changes daily."
water,"Filtered drinking water is available across campus."

exam,"Exam timetable will be posted on the student portal."
exams,"Exams are conducted twice a semester."
timetable,"Exam timetable releases two weeks before exams."
schedule,"Exam schedule will be notified soon."
results,"Results are published online within 2–3 weeks."
revaluation,"Revaluation forms available after result declaration."
backlog,"Backlog exams take place next semester."

attendance,"Minimum 75% attendance is required."
absent,"Please submit a leave application if absent."
leave,"Leave applications must be approved by department."
late mark,"Late arrivals are recorded after 15 minutes."

placement,"Top recruiters include TCS, Infosys, Wipro, Capgemini."
placements,"Placement training starts from third year."
internship,"Internship opportunities are provided through placement cell."
companies,"Many MNCs visit our campus."
package,"Package depends on company and student skills."

hostel,"Hostel facilities are available for boys and girls."
accommodation,"Accommodation is allotted on first-come-first-serve basis."
mess,"Hostel mess provides breakfast, lunch, and dinner."
warden,"Hostel wardens are available for assistance."
rules,"Hostel rules must be strictly followed."

transport,"College buses are available on major city routes."
bus timings,"Bus timings are shared at the start of semester."
transport fee,"Transport fee varies by distance."

id card,"Student ID cards are issued in the first week."
lost id,"ID replacement is available at admin office."
certificate,"Bonafide certificates can be requested from admin."

wifi,"WiFi is available across the campus."
internet,"Use your student credentials to login to WiFi."
labs,"Computer labs are open 9 AM to 6 PM."

sports,"Sports facilities include cricket, football, basketball, etc."
ground,"Sports ground is available for students after 4 PM."
gym,"College gym is located near Block C."
events,"College hosts multiple cultural and technical events."

fest,"Fests are conducted annually with cultural and tech events."
tech fest,"TechFest dates will be announced soon."
cultural fest,"Cultural Fest includes dance, singing, drama competitions."

parking,"Student parking is available inside campus."
bike parking,"Bike parking is available near Gate 2."
car parking,"Car parking is limited for faculty only."

contact,"You can contact the admin office at 022-12345678."
email,"You can email us at info@college.edu."
helpdesk,"Helpdesk is available in the admin block."
office hours,"Office hours are 10 AM to 5 PM."

bye,"Goodbye! Have a great day."
thanks,"You're welcome!"
thank you,"Happy to help!"
