food_name,matchers
Paneer Butter Masala,paneer|creamy|north|curry|rich
Chole Bhature,chole|spicy|punjabi|street|heavy
Aloo Paratha,aloo|stuffed|north|breakfast|buttery
Masala Dosa,dosa|crispy|south|breakfast|savory
Idli Sambar,idli|soft|south|breakfast|comfort
Vada Pav,vada|pav|mumbai|street|snack
Pav Bhaji,bhaji|butter|street|spicy|tawa
Vegetable Biryani,biryani|rice|fragrant|main|party
Sambar Rice,rice|dal|tangy|south|comfort
Curd Rice,curd|rice|cooling|south|simple
Rajma Chawal,rajma|rice|punjabi|comfort|homely
Dal Tadka,dal|ghee|north|protein|simple
Dal Makhani,dal|creamy|rich|punjabi|slow
Veg Pulao,pulao|rice|mild|quick|onepot
Gobhi Manchurian,gobi|fried|indochinese|crispy|starter
Veg Hakka Noodles,noodles|veg|indo|chinese|street
Aloo Gobi,aloo|gobi|dry|sabzi|north
Bhindi Masala,bhindi|dry|spicy|sabzi|simple
Kadhai Paneer,kadhai|paneer|spicy|north|curry
Palak Paneer,palak|paneer|green|healthy|creamy
Matar Paneer,matar|paneer|tomato|north|homey
Shahi Paneer,shahi|paneer|royal|creamy|festive
Veg Kofta,kofta|gravy|rich|party|creamy
Veg Cutlet,cutlet|crispy|snack|tiffin|starter
Poha,poha|light|mumbai|breakfast|quick
Upma,upma|soft|semolina|south|breakfast
Khichdi,khichdi|comfort|light|onepot|soothing
Dahi Puri,dahipuri|chaat|street|tangy|fun
Sev Puri,sevpuri|chaat|tangy|street|snack
Pani Puri,panipuri|chaat|spicy|street|party
Bhel Puri,bhelpuri|puffed|chaat|tangy|mumbai
Veg Momos,momos|steamed|indo|chinese|trending
Paneer Momos,paneermomo|cheesy|steamed|indo|snack
Rava Dosa,ravadosa|crispy|south|breakfast|thin
Onion Uttapam,uttapam|onion|south|thick|topping
Medu Vada,meduvada|fried|south|breakfast|crispy
Vegetable Korma,korma|coconut|mild|south|comfort
Avial,avial|kerala|coconut|veg|traditional
Pesarattu,pesarattu|moong|south|protein|breakfast
Gujarati Dhokla,dhokla|steamed|light|gujarati|snack
Thepla,thepla|methi|flatbread|gujarati|travel
Kadhi Chawal,kadhi|rice|tangy|comfort|simple
Malai Kofta,malai|kofta|creamy|rich|party
Tawa Pulao,tawapulao|street|spicy|mumbai|rice
Hara Bhara Kabab,harabharakabab|green|healthy|starter|veg
Mushroom Masala,mushroom|gravy|umami|north|curry
Aloo Tikki,alootikki|crispy|street|snack|chaat
Khaman,khaman|soft|steamed|gujarati|snack
Jeera Rice,jeerarice|simple|rice|mild|side
Lemon Rice,lemonrice|tangy|south|quick|travel
Chapati,chapati|flatbread|daily|simple|homely
Poori Bhaji,poori|bhaji|fried|breakfast|festive
Pongal,pongal|rice|dal|south|comfort
Misal Pav,misalpav|spicy|maharashtra|street|protein
Kanda Poha,kandapoha|onion|mumbai|breakfast|light
Sabudana Khichdi,sabudana|fasting|light|maharashtra|breakfast
Sabudana Vada,sabudanavada|crispy|fried|snack|festive
Veg Sandwich,sandwich|quick|snack|bread|tiffin
Bombay Sandwich,bombaysandwich|layered|mint|street|snack
Paneer Tikka,panertikka|grilled|starter|tandoor|smoky
Tandoori Roti,tandooriroti|bread|tandoor|north|flat
Naan,naan|soft|bread|restaurant|fluffy
Garlic Naan,garlicnaan|garlic|buttery|bread|restaurant
Veg Fried Rice,friedrice|indo|chinese|quick|veg
Paneer Fried Rice,paneerfriedrice|cheesy|fried|indo|rice
Schezwan Fried Rice,schezwan|spicy|fried|noodles|indo
Veg Spring Roll,springroll|fried|crispy|starter|indo
Gajar Halwa,gajar|halwa|sweet|dessert|winter
Gulab Jamun,gulabjamun|syrupy|sweet|dessert|classic
Rasgulla,rasgulla|spongy|sweet|bengali|dessert
Kesar Peda,peda|sweet|milk|festive|compact
Kheer,kheer|rice|milk|dessert|comfort
Sheera,sheera|semolina|sweet|temple|simple
Aloo Poha Cutlet,poha_cutlet|fusion|crispy|snack|tiffin
Veg Patty,vegpatties|bakery|crispy|snack|street
Veg Thali,vegthali|variety|fullmeal|north|platter
South Indian Thali,souththali|variety|fullmeal|south|platter
Bhatura,bhatura|fried|bread|punjabi|big
Dosa Roll,dosaroll|fusion|street|crispy|portable
Paneer Roll,paneroll|street|cheesy|snack|wrap
Veg Frankie,frankie|roll|street|mumbai|quick
Corn Chat,cornchat|tangy|street|snack|light
Masala Corn,masalacorn|butter|tangy|snack|street
Schezwan Dosa,schezwandos a|fusion|spicy|dosa|street
