no,review,result
1,The movie was amazingly entertaining and wonderfully acted,positive
2,"The film was boring, disappointing, and poorly written",negative
3,The actors were acting wonderfully throughout the performance,positive
4,"The plot was confusing, poorly written, and badly executed",negative
5,This product works perfectly and has worked well for months,positive
6,The product stopped working and has not worked since,negative
7,"The service was helpful, friendly, and even friendlier than expected",positive
8,"The service was slow, unresponsive, and slower than usual",negative
9,I enjoyed the experiences a lot and found them exciting,positive
10,I regret buying these items; they were disappointing,negative
